id,enrollment_id ,First Name,Middle Initial,Last Name,Roll,class_section, Name,Father's Name,Phone No. ,E Mail,Status,"Place Name,City Pin Code: Zip",0,"insert into student_school values(id,enrollment_id ,Roll,class_section,' Name','Father's Name',Phone No. ,'E Mail','Status','Place Name,City Pin Code: Zip')",Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,,Place Name,County,City,State,Zip,Region,User Name,Password
11,231469,Ralph,L,Flores,1,11,Ralph Flores,Terry Flores,3162802864,ralph.flores@yahoo.com,y,"Sabetha,Sabetha Pin Code: 66534",11,"insert into student_school values(11,231469,1,11,'Ralph Flores','Terry Flores',3162802864,'ralph.flores@yahoo.com','y','Sabetha,Sabetha Pin Code: 66534')",80,4/14/2009,Q2,H1,2009,,April,Apr,14,Tuesday,Tue,8.29,118457,8%,302150130,,Sabetha,Nemaha,Sabetha,KS,66534,Midwest,rlflores,7tP\LrSr}\qTqj
12,153989,Jack,C,Alexander,1,12,Jack Alexander,Samuel Alexander,7026033769,jack.alexander@gmail.com,y,"Las Vegas,Las Vegas Pin Code: 89170",12,"insert into student_school values(12,153989,1,12,'Jack Alexander','Samuel Alexander',7026033769,'jack.alexander@gmail.com','y','Las Vegas,Las Vegas Pin Code: 89170')",61,27-04-4780,Q1,H1,2017,,January,Jan,5,Thursday,Thu,0.56,82965,23%,428999413,,Las Vegas,Clark,Las Vegas,NV,89170,West,jcalexander,9L*O1U.9mSUSh
13,386158,Melissa,Q,King,1,13,Melissa King,Philip King,2166053731,melissa.king@comcast.net,y,"New Matamoras,New Matamoras Pin Code: 45767",13,"insert into student_school values(13,386158,1,13,'Melissa King','Philip King',2166053731,'melissa.king@comcast.net','y','New Matamoras,New Matamoras Pin Code: 45767')",55,11/24/2015,Q4,H2,2015,,November,Nov,24,Tuesday,Tue,1.68,166892,1%,277179106,,New Matamoras,Washington,New Matamoras,OH,45767,Midwest,mqking,FE5i<eY}[4f78
14,301576,Wayne,G,Watson,2,1,Wayne Watson,Ronald Watson,7012319370,wayne.watson@gmail.com,y,"Maida,Maida Pin Code: 58255",14,"insert into student_school values(14,301576,2,1,'Wayne Watson','Ronald Watson',7012319370,'wayne.watson@gmail.com','y','Maida,Maida Pin Code: 58255')",87,7/19/2017,Q3,H2,2017,,July,Jul,19,Wednesday,Wed,0.02,92758,14%,11946649,,Maida,Cavalier,Maida,ND,58255,Midwest,wgwatson,wM4J{]&j\eGc
15,441771,Cheryl,O,Scott,2,2,Cheryl Scott,Richard Scott,2152889345,cheryl.scott@gmail.com,y,"Quecreek,Quecreek Pin Code: 15555",15,"insert into student_school values(15,441771,2,2,'Cheryl Scott','Richard Scott',2152889345,'cheryl.scott@gmail.com','y','Quecreek,Quecreek Pin Code: 15555')",47,11/26/1990,Q4,H2,1990,,November,Nov,26,Monday,Mon,26.69,92220,12%,596942279,,Quecreek,Somerset,Quecreek,PA,15555,Northeast,coscott,Vbb+~2N|_yR
16,528509,Paula,G,Diaz,2,3,Paula Diaz,Alan Diaz,2525317641,paula.diaz@gmail.com,y,"Beulaville,Beulaville Pin Code: 28518",16,"insert into student_school values(16,528509,2,3,'Paula Diaz','Alan Diaz',2525317641,'paula.diaz@gmail.com','y','Beulaville,Beulaville Pin Code: 28518')",42,8/22/1994,Q3,H2,1994,,August,Aug,22,Monday,Mon,22.95,152654,8%,234577671,,Beulaville,Duplin,Beulaville,NC,28518,South,pgdiaz,3Kg55luU
17,912990,Joshua,T,Stewart,2,4,Joshua Stewart,Todd Stewart,2172799342,joshua.stewart@yahoo.ca,y,"New Douglas,New Douglas Pin Code: 62074",17,"insert into student_school values(17,912990,2,4,'Joshua Stewart','Todd Stewart',2172799342,'joshua.stewart@yahoo.ca','y','New Douglas,New Douglas Pin Code: 62074')",68,###############################################################################################################################################################################################################################################################,Q3,H2,2002,,September,Sep,2,Monday,Mon,14.91,184896,1%,755073676,,New Douglas,Madison,New Douglas,IL,62074,Midwest,jtstewart,K?vi9BBznj
18,214352,Theresa,G,Lee,2,5,Theresa Lee,John Lee,3195538919,theresa.lee@gmail.com,y,"Toeterville,Toeterville Pin Code: 50481",18,"insert into student_school values(18,214352,2,5,'Theresa Lee','John Lee',3195538919,'theresa.lee@gmail.com','y','Toeterville,Toeterville Pin Code: 50481')",59,1/19/2015,Q1,H1,2015,,January,Jan,19,Monday,Mon,2.52,197537,1%,55029969,,Toeterville,Mitchell,Toeterville,IA,50481,Midwest,tglee,JS#hN&Xij\%QEr
19,890290,Julia,S,Scott,2,6,Julia Scott,Lawrence Scott,4239391010,julia.scott@apple.com,y,"Primm Springs,Primm Springs Pin Code: 38476",19,"insert into student_school values(19,890290,2,6,'Julia Scott','Lawrence Scott',4239391010,'julia.scott@apple.com','y','Primm Springs,Primm Springs Pin Code: 38476')",56,2/23/2005,Q1,H1,2005,,February,Feb,23,Wednesday,Wed,12.43,141518,3%,251991941,,Primm Springs,Hickman,Primm Springs,TN,38476,South,jsscott,r.:Q7c^Tpb
20,622406,Thomas,Q,Lewis,2,7,Thomas Lewis,Ryan Lewis,3146793697,thomas.lewis@gmail.com,y,"Dutchtown,Dutchtown Pin Code: 63745",20,"insert into student_school values(20,622406,2,7,'Thomas Lewis','Ryan Lewis',3146793697,'thomas.lewis@gmail.com','y','Dutchtown,Dutchtown Pin Code: 63745')",73,###############################################################################################################################################################################################################################################################,Q2,H1,1998,,June,Jun,7,Sunday,Sun,19.15,73862,3%,467992604,,Dutchtown,Cape Girardeau,Dutchtown,MO,63745,Midwest,tqlewis,y;OJd_Oa#4g|!G
21,979607,Carol,J,Edwards,2,8,Carol Edwards,Shawn Edwards,2252834295,carol.edwards@msn.com,y,"Shreveport,Shreveport Pin Code: 71162",21,"insert into student_school values(21,979607,2,8,'Carol Edwards','Shawn Edwards',2252834295,'carol.edwards@msn.com','y','Shreveport,Shreveport Pin Code: 71162')",56,4/25/2016,Q2,H1,2016,,April,Apr,25,Monday,Mon,1.26,93967,30%,316359870,,Shreveport,Caddo,Shreveport,LA,71162,South,cjedwards,wi>va9gt
22,969580,Matthew,L,Turner,2,9,Matthew Turner,Jose Turner,2369727624,matthew.turner@gmail.com,y,"Heathsville,Heathsville Pin Code: 22473",22,"insert into student_school values(22,969580,2,9,'Matthew Turner','Jose Turner',2369727624,'matthew.turner@gmail.com','y','Heathsville,Heathsville Pin Code: 22473')",56,25-12-7572,Q1,H1,2016,,February,Feb,7,Sunday,Sun,1.47,52237,9%,598921988,,Heathsville,Northumberland,Heathsville,VA,22473,South,mlturner,I>tL>d[|lZdi_|^
23,426038,Joan,C,Stewart,2,10,Joan Stewart,Charles Stewart,2166376800,joan.stewart@yahoo.com,y,"Middleport,Middleport Pin Code: 45760",23,"insert into student_school values(23,426038,2,10,'Joan Stewart','Charles Stewart',2166376800,'joan.stewart@yahoo.com','y','Middleport,Middleport Pin Code: 45760')",56,12/30/2009,Q4,H2,2009,,December,Dec,30,Wednesday,Wed,7.58,111673,12%,429996443,,Middleport,Meigs,Middleport,OH,45760,Midwest,jcstewart,q@mq.U~D#1MPgZ
24,388642,Ruby,R,Rogers,2,11,Ruby Rogers,Ronald Rogers,4232316507,ruby.rogers@gmail.com,y,"Woodbury,Woodbury Pin Code: 37190",24,"insert into student_school values(24,388642,2,11,'Ruby Rogers','Ronald Rogers',4232316507,'ruby.rogers@gmail.com','y','Woodbury,Woodbury Pin Code: 37190')",59,8/30/2013,Q3,H2,2013,,August,Aug,30,Friday,Fri,3.91,160623,9%,236550172,,Woodbury,Cannon,Woodbury,TN,37190,South,rrrogers,t>#P@D9s<:9\V
25,560455,Carolyn,V,Hayes,2,12,Carolyn Hayes,Jimmy Hayes,2398828784,carolyn.hayes@hotmail.co.uk,y,"Saint Cloud,Saint Cloud Pin Code: 34771",25,"insert into student_school values(25,560455,2,12,'Carolyn Hayes','Jimmy Hayes',2398828784,'carolyn.hayes@hotmail.co.uk','y','Saint Cloud,Saint Cloud Pin Code: 34771')",53,###############################################################################################################################################################################################################################################################,Q3,H2,2001,,July,Jul,3,Tuesday,Tue,16.08,42005,14%,730281350,,Saint Cloud,Osceola,Saint Cloud,FL,34771,South,cvhayes,NY!Y2sw.[_vQ9{
26,477253,Anne,L,Russell,2,13,Anne Russell,Jimmy Russell,6056351306,anne.russell@ibm.com,y,"Stockholm,Stockholm Pin Code: 57264",26,"insert into student_school values(26,477253,2,13,'Anne Russell','Jimmy Russell',6056351306,'anne.russell@ibm.com','y','Stockholm,Stockholm Pin Code: 57264')",60,11/24/2013,Q4,H2,2013,,November,Nov,24,Sunday,Sun,3.68,103160,29%,456995619,,Stockholm,Grant,Stockholm,SD,57264,Midwest,alrussell,c8Nk&Y^~Vz!2
27,263480,Daniel,K,Cooper,3,1,Daniel Cooper,Louis Cooper,7015108162,daniel.cooper@yahoo.com,y,"Manning,Manning Pin Code: 58642",27,"insert into student_school values(27,263480,3,1,'Daniel Cooper','Louis Cooper',7015108162,'daniel.cooper@yahoo.com','y','Manning,Manning Pin Code: 58642')",60,###############################################################################################################################################################################################################################################################,Q1,H1,2014,,March,Mar,6,Thursday,Thu,3.4,153790,13%,181862024,,Manning,Dunn,Manning,ND,58642,Midwest,dkcooper,d8p{Pwx2fsW0Z
28,683826,Roger,L,Roberts,3,2,Roger Roberts,Antonio Roberts,2064973141,roger.roberts@gmail.com,y,"Mount Vernon,Mount Vernon Pin Code: 98273",28,"insert into student_school values(28,683826,3,2,'Roger Roberts','Antonio Roberts',2064973141,'roger.roberts@gmail.com','y','Mount Vernon,Mount Vernon Pin Code: 98273')",77,1/29/2009,Q1,H1,2009,,January,Jan,29,Thursday,Thu,8.5,129625,12%,120986493,,Mount Vernon,Skagit,Mount Vernon,WA,98273,West,rlroberts,41:C_0ik|Jb0iTO
29,474599,Maria,W,Walker,3,3,Maria Walker,Ralph Walker,4236685506,maria.walker@microsoft.com,y,"Lawrenceburg,Lawrenceburg Pin Code: 38464",29,"insert into student_school values(29,474599,3,3,'Maria Walker','Ralph Walker',4236685506,'maria.walker@microsoft.com','y','Lawrenceburg,Lawrenceburg Pin Code: 38464')",41,###############################################################################################################################################################################################################################################################,Q4,H2,1998,,October,Oct,1,Thursday,Thu,18.84,48944,21%,447273175,,Lawrenceburg,Lawrence,Lawrenceburg,TN,38464,South,mwwalker,cw?%U}s{?
30,335732,Brenda,M,Butler,3,4,Brenda Butler,Phillip Butler,4808148284,brenda.butler@gmail.com,y,"Mesa,Mesa Pin Code: 85208",30,"insert into student_school values(30,335732,3,4,'Brenda Butler','Phillip Butler',4808148284,'brenda.butler@gmail.com','y','Mesa,Mesa Pin Code: 85208')",41,8/20/1987,Q3,H2,1987,,August,Aug,20,Thursday,Thu,29.96,60508,29%,282156434,,Mesa,Maricopa,Mesa,AZ,85208,West,bmbutler,u+CtpZ~gyR*>
31,329752,Lillian,X,Brown,3,5,Lillian Brown,Gary Brown,2398129041,lillian.brown@aol.com,y,"Panacea,Panacea Pin Code: 32346",31,"insert into student_school values(31,329752,3,5,'Lillian Brown','Gary Brown',2398129041,'lillian.brown@aol.com','y','Panacea,Panacea Pin Code: 32346')",49,4/13/2015,Q2,H1,2015,,April,Apr,13,Monday,Mon,2.29,67251,22%,249998821,,Panacea,Wakulla,Panacea,FL,32346,South,lxbrown,CGM5~z:
32,893212,Amy,B,Howard,3,6,Amy Howard,James Howard,8036133168,amy.howard@aol.com,y,"Kline,Kline Pin Code: 29814",32,"insert into student_school values(32,893212,3,6,'Amy Howard','James Howard',8036133168,'amy.howard@aol.com','y','Kline,Kline Pin Code: 29814')",52,###############################################################################################################################################################################################################################################################,Q2,H1,2003,,June,Jun,1,Sunday,Sun,14.17,112715,30%,686242843,,Kline,Kline,Kline,SC,29814,South,abhoward,tNo::TEG
33,621833,Gregory,X,Edwards,3,7,Gregory Edwards,Jose Edwards,5032569654,gregory.edwards@outlook.com,y,"Bonanza,Bonanza Pin Code: 97623",33,"insert into student_school values(33,621833,3,7,'Gregory Edwards','Jose Edwards',5032569654,'gregory.edwards@outlook.com','y','Bonanza,Bonanza Pin Code: 97623')",64,9/30/2015,Q3,H2,2015,,September,Sep,30,Wednesday,Wed,1.83,169245,22%,10946817,,Bonanza,Klamath,Bonanza,OR,97623,West,gxedwards,V^sVy*MO{
34,456747,Roy,Z,Griffin,3,8,Roy Griffin,Benjamin Griffin,2195069378,roy.griffin@yahoo.com,y,"Liberty,Liberty Pin Code: 47353",34,"insert into student_school values(34,456747,3,8,'Roy Griffin','Benjamin Griffin',2195069378,'roy.griffin@yahoo.com','y','Liberty,Liberty Pin Code: 47353')",62,8/23/2012,Q3,H2,2012,,August,Aug,23,Thursday,Thu,4.93,170895,19%,358087660,,Liberty,Union,Liberty,IN,47353,Midwest,rzgriffin,qm&h<b.NsKaZ
35,278556,Richard,Y,Mitchell,3,9,Richard Mitchell,Peter Mitchell,2056215884,richard.mitchell@verizon.net,y,"Ohatchee,Ohatchee Pin Code: 36271",35,"insert into student_school values(35,278556,3,9,'Richard Mitchell','Peter Mitchell',2056215884,'richard.mitchell@verizon.net','y','Ohatchee,Ohatchee Pin Code: 36271')",81,8/18/2016,Q3,H2,2016,,August,Aug,18,Thursday,Thu,0.94,122226,14%,13945886,,Ohatchee,Calhoun,Ohatchee,AL,36271,South,rymitchell,RWeXJPOi:KpX<Rn
36,333476,Mary,P,Wilson,3,10,Mary Wilson,Robert Wilson,4239378660,mary.wilson@sbcglobal.net,y,"Nashville,Nashville Pin Code: 37219",36,"insert into student_school values(36,333476,3,10,'Mary Wilson','Robert Wilson',4239378660,'mary.wilson@sbcglobal.net','y','Nashville,Nashville Pin Code: 37219')",54,12/22/1991,Q4,H2,1991,,December,Dec,22,Sunday,Sun,25.62,109394,16%,198840652,,Nashville,Davidson,Nashville,TN,37219,South,mpwilson,Pwl&W:|<_
37,218791,Aaron,N,Price,3,11,Aaron Price,Michael Price,2192878926,aaron.price@bp.com,y,"Eckerty,Eckerty Pin Code: 47116",37,"insert into student_school values(37,218791,3,11,'Aaron Price','Michael Price',2192878926,'aaron.price@bp.com','y','Eckerty,Eckerty Pin Code: 47116')",56,###############################################################################################################################################################################################################################################################,Q3,H2,1997,,July,Jul,3,Thursday,Thu,20.08,54402,0%,491295152,,Eckerty,Crawford,Eckerty,IN,47116,Midwest,anprice,uKxgV4uO&k@
38,134841,Donna,R,Brown,3,12,Donna Brown,Adam Brown,2124347910,donna.brown@aol.com,y,"Lima,Lima Pin Code: 14485",38,"insert into student_school values(38,134841,3,12,'Donna Brown','Adam Brown',2124347910,'donna.brown@aol.com','y','Lima,Lima Pin Code: 14485')",57,7/17/2013,Q3,H2,2013,,July,Jul,17,Wednesday,Wed,4.03,129836,8%,544815182,,Lima,Livingston,Lima,NY,14485,Northeast,drbrown,u?%QOo2ykK
39,726264,Carl,N,Collins,3,13,Carl Collins,Gerald Collins,4797407633,carl.collins@yahoo.com,y,"Wright,Wright Pin Code: 72182",39,"insert into student_school values(39,726264,3,13,'Carl Collins','Gerald Collins',4797407633,'carl.collins@yahoo.com','y','Wright,Wright Pin Code: 72182')",90,###############################################################################################################################################################################################################################################################,Q2,H1,2007,,June,Jun,9,Saturday,Sat,10.14,162159,7%,544816171,,Wright,Jefferson,Wright,AR,72182,South,cncollins,XinULSmjAFL/
40,766610,Joyce,E,Jenkins,4,1,Joyce Jenkins,Edward Jenkins,2624554187,joyce.jenkins@aol.com,y,"Ellsworth,Ellsworth Pin Code: 54011",40,"insert into student_school values(40,766610,4,1,'Joyce Jenkins','Edward Jenkins',2624554187,'joyce.jenkins@aol.com','y','Ellsworth,Ellsworth Pin Code: 54011')",44,5/14/2010,Q2,H1,2010,,May,May,14,Friday,Fri,7.21,119321,13%,695166506,,Ellsworth,Pierce,Ellsworth,WI,54011,Midwest,jejenkins,C5/iW3Ry#o{~elV
41,923947,Mary,G,Bryant,4,2,Mary Bryant,Joshua Bryant,3198273516,mary.bryant@verizon.net,y,"Conroy,Conroy Pin Code: 52220",41,"insert into student_school values(41,923947,4,2,'Mary Bryant','Joshua Bryant',3198273516,'mary.bryant@verizon.net','y','Conroy,Conroy Pin Code: 52220')",45,5/20/2004,Q2,H1,2004,,May,May,20,Thursday,Thu,13.2,155442,4%,491297461,,Conroy,Iowa,Conroy,IA,52220,Midwest,mgbryant,A[iR?Z1{
42,227922,Amanda,M,Hughes,4,3,Amanda Hughes,Roy Hughes,2255449700,amanda.hughes@rediffmail.com,y,"Lake Charles,Lake Charles Pin Code: 70605",42,"insert into student_school values(42,227922,4,3,'Amanda Hughes','Roy Hughes',2255449700,'amanda.hughes@rediffmail.com','y','Lake Charles,Lake Charles Pin Code: 70605')",40,4/19/2007,Q2,H1,2007,,April,Apr,19,Thursday,Thu,10.28,114257,22%,311352540,,Lake Charles,Calcasieu,Lake Charles,LA,70605,South,amhughes,B2N>J{_k7]F
43,265813,Jack,E,Campbell,4,4,Jack Campbell,Philip Campbell,3164995737,jack.campbell@gmail.com,y,"Kalvesta,Kalvesta Pin Code: 67856",43,"insert into student_school values(43,265813,4,4,'Jack Campbell','Philip Campbell',3164995737,'jack.campbell@gmail.com','y','Kalvesta,Kalvesta Pin Code: 67856')",50,7/29/2007,Q3,H2,2007,,July,Jul,29,Sunday,Sun,10.01,186280,23%,47151537,,Kalvesta,Kalvesta,Kalvesta,KS,67856,Midwest,jecampbell,rh\N>WRr4hl~l
44,247137,Alan,E,Rivera,4,5,Alan Rivera,Bobby Rivera,4232776819,alan.rivera@apple.com,y,"Knoxville,Knoxville Pin Code: 37901",44,"insert into student_school values(44,247137,4,5,'Alan Rivera','Bobby Rivera',4232776819,'alan.rivera@apple.com','y','Knoxville,Knoxville Pin Code: 37901')",80,###############################################################################################################################################################################################################################################################,Q2,H1,2006,,June,Jun,7,Wednesday,Wed,11.15,154810,12%,399317149,,Knoxville,Knox,Knoxville,TN,37901,South,aerivera,rSuD~3HS*{S
45,407061,Elizabeth,Q,Jackson,4,6,Elizabeth Jackson,Scott Jackson,6035686118,elizabeth.jackson@aol.com,y,"Rochester,Rochester Pin Code: 3867",45,"insert into student_school values(45,407061,4,6,'Elizabeth Jackson','Scott Jackson',6035686118,'elizabeth.jackson@aol.com','y','Rochester,Rochester Pin Code: 3867')",56,1/19/2005,Q1,H1,2005,,January,Jan,19,Wednesday,Wed,12.53,85420,24%,660244434,,Rochester,Strafford,Rochester,NH,3867,Northeast,eqjackson,EAHcnWsf6xMRwr]
46,226714,Nancy,L,Davis,4,7,Nancy Davis,Bruce Davis,2196103067,nancy.davis@ibm.com,y,"Bowling Green,Bowling Green Pin Code: 47833",46,"insert into student_school values(46,226714,4,7,'Nancy Davis','Bruce Davis',2196103067,'nancy.davis@ibm.com','y','Bowling Green,Bowling Green Pin Code: 47833')",52,8/25/2012,Q3,H2,2012,,August,Aug,25,Saturday,Sat,4.93,94986,11%,224995928,,Bowling Green,Clay,Bowling Green,IN,47833,Midwest,nldavis,bvKfTutT?0*pm
47,702813,Ernest,D,Martinez,4,8,Ernest Martinez,Ryan Martinez,4799514138,ernest.martinez@gmail.com,y,"Uniontown,Uniontown Pin Code: 72955",47,"insert into student_school values(47,702813,4,8,'Ernest Martinez','Ryan Martinez',4799514138,'ernest.martinez@gmail.com','y','Uniontown,Uniontown Pin Code: 72955')",53,1/24/2016,Q1,H1,2016,,January,Jan,24,Sunday,Sun,1.51,172098,8%,672487749,,Uniontown,Crawford,Uniontown,AR,72955,South,edmartinez,qe?JNGBY{[\7;dD
48,524896,Judy,Y,Hernandez,4,9,Judy Hernandez,Fred Hernandez,3167366126,judy.hernandez@gmail.com,y,"Topeka,Topeka Pin Code: 66606",48,"insert into student_school values(48,524896,4,9,'Judy Hernandez','Fred Hernandez',3167366126,'judy.hernandez@gmail.com','y','Topeka,Topeka Pin Code: 66606')",40,12/27/2011,Q4,H2,2011,,December,Dec,27,Tuesday,Tue,5.59,133332,30%,534714481,,Topeka,Shawnee,Topeka,KS,66606,Midwest,jyhernandez,kiB:v!j&?D!&NYY
49,363065,Nancy,L,Jones,4,10,Nancy Jones,Eugene Jones,2128251930,nancy.jones@gmail.com,y,"New York City,New York City Pin Code: 10087",49,"insert into student_school values(49,363065,4,10,'Nancy Jones','Eugene Jones',2128251930,'nancy.jones@gmail.com','y','New York City,New York City Pin Code: 10087')",60,10/16/2015,Q4,H2,2015,,October,Oct,16,Friday,Fri,1.78,61924,4%,681243165,,New York City,New York,New York City,NY,10087,Northeast,nljones,J}HJq/zVFAq2
50,879753,Pamela,X,Wright,4,11,Pamela Wright,Terry Wright,3073298832,pamela.wright@aol.com,y,"Banner,Banner Pin Code: 82832",50,"insert into student_school values(50,879753,4,11,'Pamela Wright','Terry Wright',3073298832,'pamela.wright@aol.com','y','Banner,Banner Pin Code: 82832')",47,###############################################################################################################################################################################################################################################################,Q2,H1,2017,,June,Jun,9,Friday,Fri,0.13,149262,9%,459999201,,Banner,Sheridan,Banner,WY,82832,West,pxwright,3a*&[Y^pV\0!rU
51,958326,Larry,T,Miller,4,12,Larry Miller,Russell Miller,2175749283,larry.miller@shell.com,y,"East Saint Louis,East Saint Louis Pin Code: 62201",51,"insert into student_school values(51,958326,4,12,'Larry Miller','Russell Miller',2175749283,'larry.miller@shell.com','y','East Saint Louis,East Saint Louis Pin Code: 62201')",75,2/22/2017,Q1,H1,2017,,February,Feb,22,Wednesday,Wed,0.43,97904,20%,207849482,,East Saint Louis,St. Clair,East Saint Louis,IL,62201,Midwest,ltmiller,2WgF#:ew**x#
52,447813,Ann,Q,Coleman,4,13,Ann Coleman,Harold Coleman,3199944179,ann.coleman@ibm.com,y,"Hancock,Hancock Pin Code: 51536",52,"insert into student_school values(52,447813,4,13,'Ann Coleman','Harold Coleman',3199944179,'ann.coleman@ibm.com','y','Hancock,Hancock Pin Code: 51536')",41,11/19/2013,Q4,H2,2013,,November,Nov,19,Tuesday,Tue,3.69,130014,12%,27920557,,Hancock,Pottawattamie,Hancock,IA,51536,Midwest,aqcoleman,g2]GlvlL5
